cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3414,2025-W46,GOOD,2025-11-12 14:26:10,2025-11-12 14:26:53,LONG,25594.5,25604.75,REVERSAL,0,1,41.0,201.5,266,41.0,2.0,2
3415,2025-W46,GOOD,2025-11-12 14:30:10,2025-11-12 14:33:02,LONG,25579.5,25559.5,HARD_STOP,1,2,-120.0,-607.0,3097,4.0,60.0,14
3416,2025-W46,GOOD,2025-11-12 14:37:27,2025-11-12 14:40:11,SHORT,25591.0,25581.0,REVERSAL,0,1,40.0,196.5,1431,40.0,8.0,6
3417,2025-W46,GOOD,2025-11-12 14:44:43,2025-11-12 14:48:11,SHORT,25586.0,25586.0,REVERSAL,1,2,40.0,193.0,1702,30.0,40.0,7
3418,2025-W46,GOOD,2025-11-12 14:50:31,2025-11-12 14:51:07,LONG,25573.75,25583.75,REVERSAL,0,1,40.0,196.5,343,40.0,4.0,2
3419,2025-W46,GOOD,2025-11-12 15:00:00,2025-11-12 15:01:51,LONG,25578.75,25558.75,HARD_STOP,1,2,-120.0,-607.0,1544,20.0,60.0,7
3420,2025-W46,GOOD,2025-11-12 15:04:40,2025-11-12 15:05:07,SHORT,25572.0,25562.0,REVERSAL,0,1,40.0,196.5,350,40.0,14.0,2
3421,2025-W46,GOOD,2025-11-12 15:07:34,2025-11-12 15:11:16,SHORT,25564.0,25554.0,REVERSAL,0,1,40.0,196.5,1782,40.0,12.0,8
3422,2025-W46,GOOD,2025-11-12 15:16:11,2025-11-12 15:16:23,LONG,25551.25,25561.25,REVERSAL,0,1,40.0,196.5,146,40.0,5.0,1
3423,2025-W46,GOOD,2025-11-12 15:16:23,2025-11-12 15:20:00,SHORT,25561.25,25581.25,HARD_STOP,1,2,-120.0,-607.0,2671,22.0,60.0,12
3424,2025-W46,GOOD,2025-11-12 15:20:36,2025-11-12 15:21:12,LONG,25570.25,25580.5,REVERSAL,0,1,41.0,201.5,392,41.0,3.0,2
3425,2025-W46,GOOD,2025-11-12 15:32:03,2025-11-12 15:36:50,SHORT,25620.75,25620.75,REVERSAL,1,2,40.0,193.0,5375,29.0,54.0,22
3426,2025-W46,GOOD,2025-11-12 15:38:46,2025-11-12 15:39:49,LONG,25601.25,25611.25,REVERSAL,0,1,40.0,196.5,849,40.0,7.0,4
3427,2025-W46,GOOD,2025-11-12 15:40:43,2025-11-12 15:41:23,LONG,25613.75,25623.75,REVERSAL,0,1,40.0,196.5,437,40.0,4.0,3
3428,2025-W46,GOOD,2025-11-12 15:45:28,2025-11-12 15:47:46,LONG,25617.5,25617.5,REVERSAL,1,2,40.0,193.0,1673,22.0,40.0,7
3429,2025-W46,GOOD,2025-11-13 09:30:03,2025-11-13 09:30:08,SHORT,25497.75,25487.75,REVERSAL,0,1,40.0,196.5,533,40.0,17.0,3
3430,2025-W46,GOOD,2025-11-13 09:30:44,2025-11-13 09:31:05,LONG,25469.0,25449.0,HARD_STOP,1,2,-120.0,-607.0,1282,28.0,60.0,6
3431,2025-W46,GOOD,2025-11-13 09:31:19,2025-11-13 09:31:32,LONG,25435.75,25445.75,REVERSAL,0,1,40.0,196.5,844,40.0,9.0,4
3432,2025-W46,GOOD,2025-11-13 09:31:39,2025-11-13 09:31:48,SHORT,25453.75,25443.75,REVERSAL,0,1,40.0,196.5,472,40.0,9.0,2
3433,2025-W46,GOOD,2025-11-13 09:32:13,2025-11-13 09:32:14,LONG,25456.25,25466.5,REVERSAL,0,1,41.0,201.5,86,41.0,3.0,2
3434,2025-W46,GOOD,2025-11-13 09:32:45,2025-11-13 09:32:58,SHORT,25461.0,25451.0,REVERSAL,0,1,40.0,196.5,290,40.0,6.0,2
3435,2025-W46,GOOD,2025-11-13 09:35:24,2025-11-13 09:35:47,LONG,25402.75,25402.75,REVERSAL,1,2,40.0,193.0,1458,20.0,40.0,6
3436,2025-W46,GOOD,2025-11-13 09:35:51,2025-11-13 09:35:56,LONG,25396.0,25406.0,REVERSAL,0,1,40.0,196.5,182,40.0,0.0,2
3437,2025-W46,GOOD,2025-11-13 09:37:22,2025-11-13 09:37:56,LONG,25360.25,25370.25,REVERSAL,0,1,40.0,196.5,1460,40.0,19.0,6
3438,2025-W46,GOOD,2025-11-13 09:38:16,2025-11-13 09:38:28,SHORT,25371.75,25361.75,REVERSAL,0,1,40.0,196.5,388,40.0,2.0,2
3439,2025-W46,GOOD,2025-11-13 09:40:09,2025-11-13 09:40:13,LONG,25343.5,25353.5,REVERSAL,0,1,40.0,196.5,307,40.0,2.0,2
3440,2025-W46,GOOD,2025-11-13 09:40:34,2025-11-13 09:41:19,SHORT,25359.0,25359.0,REVERSAL,1,2,40.0,193.0,2176,34.0,49.0,9
3441,2025-W46,GOOD,2025-11-13 09:42:41,2025-11-13 09:43:01,SHORT,25350.5,25340.5,REVERSAL,0,1,40.0,196.5,845,40.0,0.0,4
3442,2025-W46,GOOD,2025-11-13 09:46:09,2025-11-13 09:46:25,LONG,25297.25,25307.25,REVERSAL,0,1,40.0,196.5,416,40.0,2.0,2
3443,2025-W46,GOOD,2025-11-13 09:46:40,2025-11-13 09:46:45,SHORT,25317.5,25307.25,REVERSAL,0,1,41.0,201.5,226,41.0,2.0,1
3444,2025-W46,GOOD,2025-11-13 09:46:45,2025-11-13 09:47:02,LONG,25307.25,25317.25,REVERSAL,0,1,40.0,196.5,623,40.0,37.0,4
3445,2025-W46,GOOD,2025-11-13 09:50:46,2025-11-13 09:51:15,SHORT,25336.25,25336.25,REVERSAL,1,2,40.0,193.0,943,20.0,40.0,5
3446,2025-W46,GOOD,2025-11-13 09:51:28,2025-11-13 09:51:42,SHORT,25339.0,25359.0,HARD_STOP,1,2,-120.0,-607.0,867,14.0,60.0,5
3447,2025-W46,GOOD,2025-11-13 09:53:19,2025-11-13 09:53:31,SHORT,25379.0,25369.0,REVERSAL,0,1,40.0,196.5,453,40.0,29.0,3
3448,2025-W46,GOOD,2025-11-13 09:54:25,2025-11-13 09:54:50,LONG,25372.25,25352.25,HARD_STOP,1,2,-120.0,-607.0,840,27.0,60.0,4
3449,2025-W46,GOOD,2025-11-13 09:55:58,2025-11-13 09:56:14,SHORT,25376.0,25396.0,HARD_STOP,1,2,-120.0,-607.0,708,33.0,60.0,3
3450,2025-W46,GOOD,2025-11-13 09:57:08,2025-11-13 09:57:16,SHORT,25414.5,25404.25,REVERSAL,0,1,41.0,201.5,368,41.0,13.0,2
3451,2025-W46,GOOD,2025-11-13 10:02:00,2025-11-13 10:02:35,LONG,25366.0,25346.0,HARD_STOP,1,2,-120.0,-607.0,1290,23.0,60.0,6
3452,2025-W46,GOOD,2025-11-13 10:02:47,2025-11-13 10:02:56,SHORT,25351.0,25341.0,REVERSAL,0,1,40.0,196.5,207,40.0,4.0,2
3453,2025-W46,GOOD,2025-11-13 10:03:31,2025-11-13 10:03:39,LONG,25344.25,25354.5,REVERSAL,0,1,41.0,201.5,187,41.0,0.0,1
3454,2025-W46,GOOD,2025-11-13 10:03:39,2025-11-13 10:04:17,SHORT,25354.5,25344.5,REVERSAL,0,1,40.0,196.5,974,40.0,28.0,5
3455,2025-W46,GOOD,2025-11-13 10:04:41,2025-11-13 10:05:00,LONG,25327.25,25337.25,REVERSAL,0,1,40.0,196.5,511,40.0,14.0,3
3456,2025-W46,GOOD,2025-11-13 10:05:05,2025-11-13 10:05:15,SHORT,25346.5,25336.5,REVERSAL,0,1,40.0,196.5,272,40.0,5.0,2
3457,2025-W46,GOOD,2025-11-13 10:07:56,2025-11-13 10:08:32,SHORT,25403.5,25423.5,HARD_STOP,1,2,-120.0,-607.0,1441,38.0,60.0,6
3458,2025-W46,GOOD,2025-11-13 10:08:42,2025-11-13 10:08:42,SHORT,25440.0,25430.0,REVERSAL,0,1,40.0,196.5,214,40.0,0.0,1
3459,2025-W46,GOOD,2025-11-13 10:08:42,2025-11-13 10:09:07,LONG,25430.0,25440.0,REVERSAL,0,1,40.0,196.5,1520,40.0,25.0,7
